"","titles","dates","rating_scores","descriptions"
"888","The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies","September 13, 2004","65","Jimmy Neutron: Attack of the Twonkies is jam-packed with brand new inventions and gadgets! Aliens from Twonkus-3 -- the annual comet that passes over Retroville -- overrun the town and threaten everything in their path. When music can be heard, the aliens becomes agitated -- multiplying and growing to tremendous proportions, creating some very intimidating aliens! It's up to Jimmy Neutron to figure out combinations of everyday items and turn them into inventions that will defeat the Twonkus-3 aliens. He'd better hurry up because Retroville is in need of some serious ""Brain Blasts!"" Revolutionary Inventions System allows players to collect every day objects and combine them to create more than 28 gizmos, 11 inventions and 4 super inventions. 6 episodes spanning 15 levels including Jimmy's Lab, Twonkus-3, The Neighborhood, Downtown, Retroland and the Final Showdown. Secret gizmos hidden in each level give Jimmy Neutron enhanced power-ups. [THQ]"
"889","Indiana Jones and the Emperor's Tomb","June 26, 2003","65","Indiana Jones as he travels to 1935 China to prevent a powerful artifact from falling into evil hands. Indy's latest globe-spanning adventure takes you from the jungles of Ceylon and underwater palaces in Istanbul, to the deadly streets of Hong Kong and beyond. Racing against evil Nazis and the Asian underworld with mysterious, alluring partner Mei Ying, you'll leap, swim, climb and punch your way through exotic locales, fighting hand-to-hand combat from street brawls to martial arts battles. It will take more than just your trusty whip and pistol to avoid deadly traps and navigate through all the dangerous environments. Do you have what it takes to possess the mysterious ""Heart of the Dragon?"" [LucasArts]"
"890","The Grim Adventures of Billy & Mandy","September 25, 2006","65","The Grim Adventures of Billy & Mandy videogame pits 15 characters from the popular television show against each other in a fighting/adventure game filled with mayhem and chaos. Whether players use Billy's gas attack or Mandy's deadly smile, all of the characters will feature individual abilities based on their personalities. Players will be able to smash objects, destroy environments and battle in 20 fully interactive environments from the show. In battle mode, up to four players can use a multitude of weapons in destructible arenas like the ""Desert of Doom"" and the ""Underworld"" to battle it out and be the last one standing. Players also have the option to play on their own or with a friend in mission mode, a series of 45 missions where players can unlock new weapons and characters like Hoss Delgado and Fred Fredburger. [Midway]"
"891","Triple Play 2002","March 11, 2002","65","New player animations bring the hitting, pitching and fielding to life with signature styles and stances. 3D-scanned faces put your favorite star players in the game. Play in every major league ballpark and experience the detail and beauty of a big-league setting. Hear commentary from broadcasters Bob Costas and Harold Reynolds. Four different game modes include Home Run Derby for those who live by the long ball. Other extras include Create-A-Player, Fantasy Draft, and widescreen TV support. [Electronic Arts]"
"892","Disney/Pixar Ratatouille","June 26, 2007","65","Players relive the film's most thrilling moments as they assume the role of Remy, a young rat who dreams of becoming a great French chef, despite the obvious problem of being a rat. From the underground sewers to the bustling streets of Paris, players dash, glide and slide through 6 action-packed worlds filled with dangerous enemies, heists and perilous missions. Players can go head-to-head with their friends in multiplayer mini-games or navigate their way through a sensational rat race that turns the culinary world of Paris upside down. [THQ]"
"893","Mister Mosquito","March 12, 2002","65","You are Mister Mosquito, an uninvited guest in the Yamada family home in Japan. In order to store up enough food for the winter, you must drink as much of their precious blood as possible while they are in bed, talking on the phone, watching tv, or even a bath. The Yamadas know you are in the house and have plans to take you out. Deadly insecticides fill the air, and they have the ability to crush you like the bug you are. [Fresh Games]"
"894","Rocky: Legends","September 28, 2004","65","Rocky Legends lets players experience the pummelling action and untold backstories that lead up to the events chronicled in the blockbuster Rocky movies. Pound the competition as legendary fighters Rocky Balboa (the Italian Stallion from the streets of Philly), Apollo Creed (the Master of Disaster), Clubber Lang (straight out of a Chicago jailhouse) and Ivan Drago, (the Iron Fist of mother Russia), rise from their raw beginnings as unproven amateurs toughing it out along the way to their professional careers as boxing champions. [Ubisoft]"
"895","Onimusha Blade Warriors","March 24, 2004","65","All of your favorite heroes from the ancient world of Onimusha gather together for one multi-battle action fighting game that will bring the world to its knees. Select your warrior from among a bold cast of characters spanning the world of Onimusha. For the first time, Samanosuke, star of Onimusha Warlords can go head-to-head with Jubei Yagyu of Onimusha 2: Samurai?s Destiny. Enter into battle alone, or with up to three other opponents for lightning quick multi-player action battles that show off your skills as a warrior. Each stage is beautifully rendered to create the intense action of battle for the ultimate in hardcore fighting! [Capcom]"
"896","Mafia","January 28, 2004","65","Mafia brings the 1930's underworld to life in this 3rd person 3D action game. Rise from the lowly but well-dressed footsoldier to the envied and feared Made Man in an era of big bands, zoot suits and Model T's. Take on the role of a hitman, enforcer, getaway driver and more in your struggle for respect, money and power within the Salieri Family. Arriving on console, Mafia has been enhanced to deliver an awesome experience that will make the Cosa Nostra look like a bunch of choirboys. [Gathering of Developers]"
"897","Star Wars: Bounty Hunter","November 19, 2002","65","The Hunt Begins! You are Jango Fett, the galaxy's most dangerous bounty hunter, hired to hunt down the elusive leader of a mysterious cult - dead or alive. Through 18 action-packed levels across six diverse worlds, face off against galactic scum, fearsome beasts, and brutal competition that stands between you and your prey: a deranged dark Jedi. This hunt will lead you to the darkest corners of the Star Wars universe where no one else has dared to go, but you are the fearless, ruthless, and relentless Jango Fett. For the galaxy's most wanted, there is no place to hide... [LucasArts]"
"898","Flow: Urban Dance Uprising","November 15, 2005","65","Feel the flow. Everybody’s got a story to tell. In Urban Dance, you tell it with your body. Whether you’re old school, pioneering fresh moves, or new to breakdancing altogether, you’ll find fresh beats and challenges in Flow: Urban Dance Uprising, the first-ever breakdancing game where you actually get up and move. Host dance battles, get fit, and master up to 300 moves from all schools of Urban Dance. Rhythm scores you points; style scores respect. Express your skills and style to 50 current, licensed hip-hop tracks. Learn the foundations of Urban Dance in Easy mode, and challenge yourself with fly power moves as you advance through Medium and Expert. Establish your character’s rep across town in 100 single-player challenges and unlock songs, power moves, custom interfaces, and more. Break out your dance pad and master up to 300 moves per character. Or, try them out with your Dual shock 2 controller. Develop your moves and stamina in three single-player modes, then battle against friends in Versus, Break Style, and 8-player Competition mode. Pick from 10 different b-boys and girls, or watch yourself dance using the Sony USB Camera Eye Toy. [Ubisoft]"
"899","RPG Maker II","October 24, 2003","65","RPG Maker 2 for PlayStation2 gives players a virtual blank screen and every conceivable tool they?ll need to create the RPG of their dreams. By providing fully rendered 3D models for all characters, monsters, backgrounds, and items, RPG Maker 2 lets the players create intricate, detailed worlds of their own. No other game in the history of video games has ever provided this much incentive for gamers to use every ounce of their creativity!"
"900","Chaos Legion","August 6, 2003","65","Savage by Nature. Two allies torn apart by tragedy...yet bound by fate. The three sacred glyphs...the mythic and forbidden symbols of an ancient world torn apart. Only these mystic relics have the power to open the Gateway of Chaos and lead the people to the Red Moon. Legend says that when the three glyphs meet, the three worlds will once again be reunited. Two men, once friends, now have their fates tied together by the tragic death of a young maiden. One, a brave young knight and summoner of the Chaos Legion. The other, a noble lord who has fallen to the dark side. Both hold thekey to the sacred glyphs in their power. The legions shall be summoned in this dark gothic opera!  [Capcom]"
"901","Brave: The Search for Spirit Dancer","April 9, 2007","65","Brave is the sole escapee of an attack by the vicious Wendigo spirit. His tribe enslaved, their only hope is that Brave can find Spirit Dancer, the greatest shaman to ever live. Only Spirit Dancer has the power to defeat the Wendigo and release them. So starts Brave's epic journey... Brave takes you on a journey through beautifully rich and interactive scenery. Hunt wolves in the depths of the forest, face stampedes of buffalo and canoe down crashing rapids in the search for Sprit Dancer. Master a range of talents from combat with a tomahawk and bow, to animal tracking and mimicry. Your hunting skills are surpassed only by initiation into the ways of the shaman. Overcome bizarre creatures and terrifying foes, learning to work alongside and possess animal spirits as you progress. Take on the shape of the smallest rabbit to escape down burrows or the form of a mighty bear spirit to battle your foes. [SCEE]"
"902","Resident Evil: Dead Aim","June 18, 2003","65","A Deadly Game of Search and Pursuit. Join anti-Umbrella searchand pursuit team agent, Bruce MacGavin, as he encounters a new layer of Umbrella's insidious activities. In this all-new Resident Evil first-person action-shooter, you must search, sneak and use battle moves to regain control of a sea-jacked cruiseship lost in the Atlantic. And should you find yourself trapped amongst hordes of zombiesand mutant beasts, your aim better be dead on ... or you?re gone! [Capcom]"
"903","Taz Wanted","September 17, 2002","65","The ravenous, relentless, natural disaster of a hero, TAZ, is rip-roaring mad. Yosemite Sam locked him in a zoo and wants to turn Taz's homeland into a tacky theme park! Now as an escapee, Taz is on the run gobbling power-ups, using disguises and leaving a wacky wake of destruction across four hazard-filled worlds in an attempt to stop Sam. [Infogrames]"
"904","Vampire Night","November 14, 2001","65","The legend has existed for centuries. Very few have survived to tell their account of terror. But we know, the Vampire is real. Grab a friend and the GunCon2 and experience the shoot'em up action. Namco puts you in the role of the vampire hunter. Includes a special training mode, an adventure mode, and other hidden features. [Namco]"
"905","Q-Ball: Billiards Master","February 29, 2000","65","Succeeding in the surprisingly competitive PlayStation 2 billiards genre isn't easy, but Q-Ball competes with a wide selection of game options. Seven modes of play are available: straight pool, free play, eight ball, US nine ball, international nine ball, rotation, frozen, plus carrot, random six, and bowlliards. Q-Ball also makes full use of the analog buttons and sticks for you to determine the power and angle of your shots.
With beautiful graphics and precision ball movement, billiards has never been this real! Qball: Billiards Master is a pool player's dream, using the power of the PlayStation 2 to create an unforgettably challenging game.
Play in style with QBall!"
"906","Obscure","April 6, 2005","65","As many highschools, Leafmore High is no longer the highschool it used to be. Its walls are mouldering, its books are outdated, its teachers have lost their faith... Following the disappearance of one of their friends, a group of students decide to investigate their high school. This brave step will lead them into a hell they will never forget. But, no matter what happens, they must stick together if they want to throw light on the dark and sordid history of their school. Play five different students, alone or in cooperation, every one of them having their own special aptitude, and use them wisely to defeat the monsters creeping around. [Hydravision]"
"907","Bee Movie Game","October 30, 2007","65","Based on the DreamWorks Animation movie written, produced by and starring Jerry Seinfeld, Bee Movie Game lets players race, chase and fly their way through an adrenaline-fueled world of adventure as they experience the hilarious antics of Barry B. Benson, a dynamic and daring bee who knows there is more to life than making honey. [Activision]"
"908","Gladiator: Sword of Vengeance","November 5, 2003","65","A Warrior Slave... Chosen by the Gods... To restore the glory of an Empire. In the Year 106AD the Roman Empire is in terrible decline. After the untimely death of the much-liked Emperor Trajan, the despotic Emperor Arruntius has bled the once powerful Rome to its knees. Badly fought wars, famine and plague are rife in all corners of the Empire, whilst the Emperor and his elite enjoy every excess and vice that the emptying coffers can afford. As herald to this age of degradation, Arruntius has destroyed large portions of the city of Rome to create the battleground for the bloodiest gladiator event ever staged... [Acclaim]"
"909","Stretch Panic","August 28, 2001","65","""This is the unusual story of an unusual little girl,"" the game begins.  Play as cute little Linda who -- using only her scarf which has been imbued with incredible powers -- must save her 12 sisters who have been possessed by the demons of vanity."
"910","Serious Sam: Next Encounter","April 22, 2004","65","Serious Sam: Next Encounter finds Sam gearing up once again to defend the Earth from Mental and his limitless extra-terrestrial hordes. Sam is launched back in time to rid the alien scum from more than 40 levels spread throughout three beautifully rendered, massive new time periods Ancient Rome, Feudal China and legendary Atlantis. For the first time ever, Sam will have access to vehicles to help him mow down the enemies, and of course heÂ¹ll be armed to the teeth with an arsenal that contains old favorites and some high-powered new additions. Throughout it all, Serious Sam: Next Encounter maintains the same hilarious and high speed shoot-em-up action that fans have come to love, while introducing loads of new gameplay to keep old hands and newcomers alike coming back for more. [Take 2 Interactive]"
"911","Naval Ops: Commander","March 9, 2004","65","NAVAL OPS: COMMANDER is set in an alternate reality where the powerful nation of Virshia has deployed an armada of  ""Superships"" around the globe. Through Virshia's aggressive assault on the world?s oceans, nations quickly fell while others still hang in the balance. In the game, players command a lone Tactical Battle Group committed to fighting the Virshian fleet. The action takes place in two phases: Strategy and Battle. During the Strategy phase, players are briefed on the impending battle. Based on mission objectives and known threats, players can upgrade and adapt their ship using a full spectrum of integrated weapon and defense systems, propulsion hardware and aircraft. At this stage, players can also invest in new technology, develop new weapons, purchase parts, or choose from over 100 combat-ready vessels based on actual ships from the United States, Japan, Great Britain, and Germany. NAVAL OPS: COMMANDER introduces several new developments to the series. With the new TBG (Tactical Battle Group) system, players have real-time control of a primary warship and gain the option of changing the attack formation of escort ships that provide anti-aircraft, anti-ship, and assault support. [KOEI]"
"912","ESPN NFL PrimeTime 2002","December 2, 2001","65","Manage your team for up to 15 seasons as Chris Berman and Tom Jackson go ""Inside the Numbers"" to breakdown your games. Create free agents or edit existing players with an in-depth Player Editor.  The game includes updated 2001 season rosters for all 31 NFL teams."
"913","Eternal Poison","November 11, 2008","65","Our world descended into chaos the day the demonic realm of Besek appeared. Creatures known as the Majin emerged, wreaking havoc and destroying our way of life. They captured the Princess of Valdia and imprisoned her in their lair. Now, brave adventurers throughout the land have set out to explore the Majin homeland. Some wish to rescue the princess; some seek fame and glory; some merely want revenge. However, there are those who look to harness the Majin's dark powers, for it is rumored that deep within Besek lies the Eternal Poison, a legendary treasure able to make your deepest desires come true. Travel the paths of some of these adventurers, and as their tales unfold, you will discover the true meanings of romance, heroism, madness, despair, and betrayal. Five stories in one—Walk the winding paths of five different parties as they journey deeper into hostile lands. With branching paths and optional encounters, you must chart each course carefully, for your choices have a direct impact on the outcome of each tale. All demons can be exploited - even bosses - so every battle offers the intriguing choice of binding or killing your foes. Bound demons can be summoned to fight at your side or be sacrificed for money or new spells. Step into a twisted fairytale world of demons, black magic, and a quest for the ultimate treasure. The kidnapping of the Princess and the temptation of finding the Eternal Poison have drawn your heroes into a world full of dangerous traps, fiendish monsters, and unexpected villains. Discover a world that is as rich in beauty as it is in corruption. [Atlus USA]"
"914","Syphon Filter: The Omega Strain","May 4, 2004","65","The Omega Strain, an intense action game, offers more of what sparked the franchise?s popularity with the addition of four-player cooperative peer-to-peer online play, an innovative character customization feature, all-new features and weapons, and larger, richly-detailed, intense international environments. Featuring a lethal arsenal of all-new, high-tech weaponry and sophisticated gunplay, players can take on hostile terrorists alone or band together with up to three other agents online to combat world terror as a team."
"915","MS Saga: A New Dawn","February 21, 2006","65","In the aftermath of the Great Fall, its survivors face a great irony. They must harness the power of the enemy to rebuild their world. But when the power falls into the wrong hands, their survival is threatened once more. As Tristan, travel the world to recruit your team. Build your army from 39 base model mobile suits. Command them in battles to stop Vladi Zarth and his army. Customize them with more than 260 different parts. Explore towns and perform tasks to earn experience and money. Encounter more than 300 types of enemies. Featuring mobile suits from Mobile Suit Gundam, G Gundam and Gundam Wing. [Bandai]"
"916","Tim Burton's The Nightmare Before Christmas: Oogie's Revenge","October 10, 2005","65","Based on the 1993 award-winning animated movie, Tim Burton's The Nightmare Before Christmas continues the story of Jack Skellington, Oogie Boogie and other familiar favorites in a whole new gaming adventure. The game expands the depth of the environments and characters first introduced in the movie and brings to life a brand new adventure. The Nightmare Before Christmas is an action adventure game where players assume the role of Jack Skellington the Pumpkin King of Halloween Town, who must help reclaim the town from the mischievous Oogie Boogie and his henchmen. The game incorporates faithful depictions of the original characters, beautifully rendered visuals, fun exploration and engaging gameplay elements to provide an exciting new experience for players. [Capcom]"
"917","Summer Heat Beach Volleyball","July 1, 2003","65","Summer Heat Beach Volleyball features: 14 selectable characters, each with player-specific attributes and abilities; 12 sizzling locations, including Venice Beach Stadium, Flamingo Pier, Emerald Marina and Silver Sands Beach; Immersive summer game play experience allows players to unlock hidden secrets as they spike your way to beach volleyball dominance; Proprietary ""Super Spike"" system, enables gamers to earn special moves, speed-ups and unlock hidden features; First-ever Summer Beach House Party Mode tracks player stats plus unlocks hidden features and players; Game play modes include Arcade, Exhibition, Tournament and Mini-Games; Full character customization, allows players to modify their character's skin color, hairstyle, and accessories; In-game music soundtrack featuring today's top recording artists, including Pink (""Get the Party Started""), Sum 41 (""Summer""), Kylie Minogue (""Love at First Sight""), Sprung Monkey (""Coconut""), Freshmaka (""Hawaiian Shirt"") and Suburban (""Ooohwee""); TV-style presentation, including music videos from Pink, Sum 41 and Kylie Minogue, player cut scenes, arena fly-throughs and instant replays. [Acclaim]"
"918","Gungrave","September 16, 2002","65","Gungrave challenges gamers to kick some serious butt as Grave, a long-dead assassin sent back to earth to annihilate seemingly endless legions of merciless enemies. Players battle their way through massive, destructible areas in over-the-top anime-inspired action, earning insane special attacks and otherworldly power-ups as they embark on a mission of revenge and devastation. Featruing destructible environments, hordes of relentless foes and stunning art by anime legend Yasuhiro Naito, Gungrave is equal parts stylish anime thriller, Hollywood blockbster and heart-pounding action game."
"919","Mad Maestro!","March 12, 2002","65","The city has announced plans to destroy the concert hall! The hero Takt is a young conductor attempting to recruit the best musicians, from all walks of life to put on a Mega-concert to save the concert hall. Perform perfectly, and you will save the hall and keep music alive for generations to come. Hit a bad note, and you'll be looking for a new gig. The soundtrack features Brahms, Strauss, Mozart, Tchaikovsky, Schubert, Beethoven, and more. [Fresh Games]"
"920","Thunderstrike: Operation Phoenix","October 15, 2001","65","A deadly new adversary has struck at all the principal nations, paralyzing the world. The world's allied forces immediately call for a global summit, merging their weapons resources and technologies into a clandestine project entitled Operation Phoenix. [Eidos Interactive]"
"921","Fallout: Brotherhood of Steel","January 14, 2004","64","In this gritty and darkly humorous 3rd person action adventure, players join the courageous Brotherhood of Steel, whose mission is to maintain peace in the grim post-apocalyptic world of Fallout. Battling raiders, mutants and a host of radioactive nightmares, players attempt to save the scattered remnants of the human race. Life is hard, mutation is rampant and the closet thing to law and order is the fusion-powered pistol that you carry on your hip. [Vivendi Universal]"
"922","Mission: Impossible: Operation Surma","December 8, 2003","64","Your mission, should you choose to accept it, is to save the free world from certain doom! Ethan Hunt is back in Mission: Impossible Operation Surma, a stealth-action adventure featuring an incredible arsenal of the latest weaponry, hi-tech gadgets and mind-blowing disguises. Ethan and his IMF team travel to exotic international locations in an effort to thwart the Surma Corporation's diabolical plans for global domination. Throughout your mission, you?ll be called upon to use your brains and brawn to get the job done. Play as Ethan Hunt, leading your IMF team through a stealth-action Mission: Impossible adventure. Use shadows and stealth to infiltrate enemy fortifications and incapacitate enemies. Utilize classic IMF-style gadgets including scanners, inner-ear communicators and hi-tech IMF disguises. Control gameplay with multiple paths toward completing each mission. Tackle missions in exotic locations. Encounter more than 11 characters within an in-depth storyline. [Atari]"
"923","ESPN Winter X-Games Snowboarding 2002","January 14, 2002","64","Ride on 30 new courses with big kickers and twisted rails for intense arcade action. Learn new tricks and build your charisma points in order to get noticed by sponsors. Fly the world for competitions, film shoots and heli-boarding trips in your quest to compete at the X Games. Ride as one of 13 real pro riders including X Games medal winners Peter Line, Tina Basich and Danny Kass. Extra DVD features include over 35 minutes of snowboarding films and killer music. [Konami]"
"924","Silent Scope 2: Dark Silhouette","September 18, 2001","64","Using weapons like the Thermal Vision Scope and X-Ray Scope (without the use of a light gun peripheral), Dark Silhouette pits the player against enemy terrorists in four single & two-player modes of play, including Story, Shooting Range, Duel, and Original."
"925","Heroes of Might and Magic: Quest for the Dragon Bone Staff","April 18, 2001","64","The venerable ""Heroes of Might and Magic"" series arrives from the PC, shedding its 2D and turn-based roots while maintaining a traditional RPG storyline -- find the cure for your poisoned king."
"926","The Spiderwick Chronicles","February 5, 2008","64","The Spiderwick Chronicles is a video game based on the theatrical release by Paramount Pictures and Nickelodeon Films. The game recreates the fantastical world of the Spiderwick film and best-selling book series. The Spiderwick Chronicles video game recreates the world of Jared, Simon and Mallory Grace, putting gamers in their shoes as they discover a hidden world of fantastical creatures - sprites, ogres, goblins, brownies and more. [Sierra Entertainment]"
"927","Dog's Life","September 14, 2004","64","Meet Jake, the loveable mutt on a mission: to rescue his dog-napped pal Daisy! The plucky pup embarks on an epic adventure which sees him journeying across the US, taking in the Mid-West countryside, scenic ski resorts, and even busy cities on his travels. Playing as the heroic hound, you'll get to do pretty much anything a real-life dog can do - including sniffing out food, playing fetch, chasing chickens, and marking your territory (yep, that's right, Jake can fart, pee and poo). As you explore the huge environments, you can choose whether to interact with other animals and humans, go on missions for treats, and even play as other dogs utilise their individual canine talents. [SCEE]"
"928","Alias","April 5, 2004","64","Alias is a third-person action adventure containing a unique blend of action and stealth that puts you under fire and under pressure. Whether you're up against the clock or being hunted by the enemy, fighting against the odds or fleeing for your life, the action is relentless. Utilize your incredible spyware and array of disguises to complete the most dangerous covert missions across the globe. Experience all the heart-stopping action and tension of the award winning TV series. [Acclaim]"
"929","Aero Elite: Combat Academy","March 10, 2003","64","Aero Elite is your opportunity to train as a fighter pilot and master the intricate flight mechanics and high-tech weaponry of today's latest aircraft. Take part in rigorous training, where you will master more than 60 types of aircraft, from jump jets to choppers. Through a wide range of combat scenarios, you'll hone your skills and perfect a wide variety of difficult aerial maneuvers. These will come in handy as you become intimately involved with radar-guided missiles, heavy machine guns, and terrestrial targets in need of destruction. Are you skilled enough to become one of the Aero Elite? Pilot more than 60 authentically-modeled aircraft, including helicopters. Battle above 12 different areas during morning, day, or night under various weather conditions. Master aerial acrobatics through realistic training. Outsmart deviously aggressive enemy squadrons. [Sega]"
"930","Egg Mania: Eggstreme Madness","September 12, 2002","64","Over 33 configurable options in the special customize play mode allows gamers to design their own Eggstreme Madness challenges. Intuitive Wobble Meter analyzes the stability of each player's puzzle tower and heightens game strategy elements. Over 33 individual enemies and helpful allies roam a wide range of new themed stages. New bonus scoring system includes tricks and combos and continuous scoring bonuses, essential strategies for unlocking hidden characters and game modes."
"931","Street Fighter EX3","October 24, 2000","64","The Street Fighter EX3 series returns with a third serving of tag-team, free-for-all brawls. Choose from 16 characters to play one-on-one, two-on-one, and even one-on-three battles. In original mode, take one character through a fighting quest and recruit your defeated opponents for tag or team play. With four gameplay modes and new enhancements such as the Critical Parade and Emotional Flow super moves, Street Fighter EX3 adds more fun to tag-team fighting."
"932","Devil Kings","October 12, 2005","64","In Devil Kings, players assume the role of various warriors who must lead their hero into a succession of hostile confrontations against an onslaught of opponents. The action explodes on-screen when awesome ""critical moves"" are performed on the battlefield as players plow through enemy hordes. Unleash the special powers from within to bombard those who stand against you with ruthless attacks or summon a powerful storm of fiery meteors and watch them explode in a whirlwind of destruction. Using experience points earned during combat, gamers can level up their characters' personal attributes and weapons. There are over 80 special items to find and unlock in hidden treasure chests located throughout the game. It's up to the player to build up their heroes, collect items, and carve a new path to victory and ultimate domination. [Capcom]"
"933","Shaun Palmer's Pro Snowboarder","November 13, 2001","64","Ride the mountain as six-time X-Games gold medalist Shaun Palmer or 9 other top pros in real-to-life racing competitions and freestyle snowboarding. Pull off hundreds of trick combos in real-life locations like Kirkwood and Donner Ski Ranch. [Activision]"
"934","King of Fighters: Maximum Impact","October 12, 2004","64","King of Fighers: Maximum Impact is the first KOF title to be designed specifically for the PlayStation 2, rather than being based on any existing SNK arcade version. Maximum Impact features 24 of the most popular KOF characters such as Terry Bogard and Kyo Kusanagi all rendered in 3D. The game also features six brand new characters to the franchise, 4 unlockable characters, and a wide assortment of detailed battlegrounds and fighting maneuvers. [SNK NeoGeo]"
"935","Shining Force EXA","March 20, 2007","64","The world of Shining Force EXA has long been steeped in devastating wars and oppression. Two bitter nations wage constant war upon each other by summoning armies of beasts and demons. Now, decades later, neither side has gained any perceivable advantage over the other, while the world and its people lay ravaged and devastated by the ceaseless fighting. Players take the role of two characters in Shining Force EXA; Toma, a warrior who holds the power to wield the Shining Force, is destined to unite the divided world in which he lives; and Cyrille, a powerful sorceress who fights to create a better future for her homeland. Together Toma and Cyrille embark on a quest to bring peace and order back to their war-ravaged world. Shining Force EXA debuts an innovative Fortress System by which players manage the growth, layout, and defense of the Geo Fortress, the player's home base. As players leave the Geo Fortress to go on missions and quests, they are kept abreast of events at the fortress. If at anytime the Geo Fortress is attacked during the quest, players must switch between parties and use members from the defensive force that were left to protect the fortress from invasion. The Geo Fortress can evolve during the game to match players' personal style and tactics. [Sega]"
"936","Warhammer 40,000: Fire Warrior","November 17, 2003","64","Welcome to the dark nightmare future of the 41st Millennium, the grim era of the Imperium of Man. The battlefield is spread across a million different worlds. Powerful armies of Space Marines, Imperial Guard, and Tau Fire Warriors are in constant conflict, unleashing carnage via mechanical war machines, crushing artillery, and vast starships. Warhammer® 40,000: Fire Warrior™ follows one day in the tumultuous life of Kais, young Tau Warrior who must battle alone against a force that shows no mercy: The Imperium of Man. Kais will soon learn there is a darker foe at hand and becomes entangled in a frightening story that leads him through an ongoing war. [THQ]"
"937","Rayman Raving Rabbids","December 5, 2006","64","Rayman Raving Rabbids marks the return of the iconic video-game hero, Rayman, in his funniest and zaniest adventure ever. When the world of Rayman is threatened by a devastating invasion of crazed, out-of-control bunnies Rayman must rise up against his furry foes to foil their wicked plans. Utilizing an array of amazing new abilities, and with the help of magical creatures, Rayman must break out all the moves to save his world from these delirious bunnies and their hare-raising antics. Combat the Ultra-Crazed Evil Rabbits – Take control of Rayman and his knack for attack to help save his world from the raving rabbids. They are mischievous, insane and completely out of control. There are several types of rabbids each with its own mischievous characteristics. Tame and control various creatures such as sharks, eagles, rhinos, spiders and angelfish. Rayman can master each animal's unique capabilities to help in his battle against the devious rabbits. Customize and disguise Rayman. Go punk, pop, rock or hip hop to infiltrate the bunnies and foil their devious plans. Explore amazing free-roaming environments and beautiful epic landscapes that mix real and fantastical styles to create a visually stunning experience. [Ubisoft]"
"938","Fur Fighters: Viggo's Revenge","June 3, 2001","64","An elite fighting force of five stuffed animals from Fur Fighter Village are sent on a mission to rescue their homeland from the evil General Viggo (and they do it with shotguns, machine guns, rockets and other non-stuffed weopons)."
"939","Fantastic 4","June 27, 2005","64","Fantastic Four game players are be able to harness the Marvel Super Heroes' unique and amazing powers through a compelling single-player or two-player co-operative team based gameplay experience.  Authored by Zak Penn, who co-wrote the story for ""X2,"" the game follows the Fantastic Four film's storyline and expands the adventures by letting players stretch, control fire and use invisibility and brute force to defeat evil Super Villains in new environments and familiar comic book locales.  Challenged to master the individual powers of each Super Hero and combine them to level even more devastating attacks, players must battle some of Marvel's most notorious Super Villains, including, the ultimate evil - Doctor Doom -- to save the human race from disaster. [Activision]"
"940","Flipnic: Ultimate Pinball","July 13, 2005","64","""Flipnic is an enjoyable simple-action amazing pinball game for you."" And UbiSoft's delightfully surreal game is just that, a wonderfully entertaining slice of ball-flipping action that anyone can enjoy. The first thing you'll notice when you get your mitts on Flipnic is just how huge the 'tables' are. Based on five different themes, including Jungle, Techno and Metal, these unique worlds contain stunning landscapes, complete with their own individual wildlife, flora and fauna. The first set of tables has a lush tropical look, with butterflies floating over the game as you frantically bash buttons in an attempt to achieve Flipnic's surreal objectives. The challenges include saving pink flamingos from the jaws of hungry crocodiles, destroying UFOs, and feeding hungry monkeys by knocking bananas into their waiting paws. And when you're not putting your mean pinballing skills to the test in single-player mode, you can also throw down the gauntlet to friends in multiplayer modes, with Pinball Soccer and Pinball Basketball available for two-player action. Possibly the most surreal addition to the genre, Flipnic sports beautifully vibrant graphics, intuitive controls, and some of the best ball physics you'll ever encounter in a pinball sim. [Playstation.com]"
"941","Fire Blade","June 16, 2002","64","In the cockpit of FireBlade there is one goal: use whatever means available to annihilate the terrorist cells flaming up around the globe. Battle through 18 Missions in 4 campaigns at the helm of the Carrier chopper or the Vendetta attack copter and unleash a barrage of hi-tech deadly weapons including Swarm Missiles, Sniper Cannons and Laser Guided Homing Missiles. Go turbo, or remain undetected from enemies in stealth mode. To win the war, you've got to end the war. Attack and destroy! [Midway]"
"942","The Simpsons Road Rage","November 24, 2001","64","Mr. Burns is up to his greedy ways again, purchasing the Springfield Transit Corporation and jacking up the fares. Refusing to shell out the high rates, Springfield citizens are forced into humorous Simpsons ""road rage"" as they brave commuters, jam-packed back-routes and the challenge to make enough money to buy back the Transit Corporation before time runs out. No time for donuts, Homer. [Electronic Arts]"
"943","Sonic Heroes","January 27, 2004","64","In Sonic's most exciting adventure yet, you maneuver a team of three Sonic characters through massive levels to overcome the ultimate evil! You guessed it, Dr. Eggman is on the loose once again, but this time he'll have to take on three powerful characters at once! Whether he's trying to outrun Sonic, or dodge Knuckles punches, he'll have plenty to contend with. All twelve characters have unique strengths that you'll take full advantage of to get your team through the course at full speed. Whether you choose Team Sonic, Team Dark, Team Rose, or Team Chaotix, you'll be off on a wild journey filled with challenging missions unique to each team. In this groundbreaking title that brings the Sonic series to PlayStation 2 and Xbox for the first time, Sonic Heroes marks the next evolution in Sonic's gaming career. [Sega]"
